WordPress|WordPress is a free and open source blogging tool and a content management system(CMS) based on PHP and MySQL, which runs on a web hosting service.|http://wordpress.org|wordpress|CMS|custom_key|false|||true|false    
Joomla|Joomla! is an award-winning open source CMS for building powerful websites.|http://www.joomla.org|joomla|CMS|custom_key|false|||true|false
Redmine|Redmine is a flexible project management web application. Written using the Ruby on Rails framework, it is cross-platform and cross-database.|http://www.redmine.org|redmine|Collaboration|custom_key|false|||true|false
OTRS|OTRS is an Open Source helpdesk software and an IT Service Management software free of licence costs.|http://www.otrs.com|otrs|Collaboration|custom_key|false|||true|false
Jenkins|Jenkins provides continuous integration services for software development. It is a server-based system running in a servlet container such as Apache Tomcat.|http://jenkins-ci.org|jenkins|Continious Integration|custom_key|false|||true|false
hadoop|Apache Hadoop is an open-source software framework for storage and large scale processing of data-sets on clusters of commodity hardware.|http://hadoop.apache.org|hadoop|Business Intelligence|custom_key|false|||true|false
SCM-MANAGER|SCM_MANAGER is a open source software for secure and innovative source code management|http://www.scm-manager.org|scmmanager|Development Platform|custom_key|false|||true|false
Orion|The Eclipse Orion project's objective is to create a browser-based, open source, tool-integration platform, one entirely focused on developing for the web, in the web.|http://www.eclipse.org/orion|orion|Development Platform|custom_key|false|||true|false
salesforce|A salesforce.com application provisioned on the fly. Go ahead what are you waiting for, if you need a CRM, this it.|http://www.salesforce.com|salesforce|CRM|saml2,oauth|false|accounts,campaigns,cases,contacts,contracts,events,leads,opportunities,partners,pricebook,products,solutions,tasks,users|localhost://8080/deccanplato|false|true
Google App|A Team collaboration client saas software from Google. Effective for emails, calender, google docs..|http://www.google.com|googleapp|Collaboration|saml2,oauth|false|contacts,downloads,migrations,uploads,users|localhost://8080/deccanplato|false|true
Xero|Xero.com for Accounting|http://xero.com|xero|Accounting|oauth,custom_key|false|accounts,contacts,employees,invoice,items,payments,receipts,users|localhost://8080/deccanplato|false|true
SugarCRM|A commerically open source CRM software with rich features. Go ahead what are you waiting for, if you need a CRM, this it.|http://sugarcrm.com|sugarcrm|CRM|saml2|true|accounts,calls,campaigns,cases,contacts,leads,meeting,notes,opportunitie,targets,tasks,users|localhost://8080/deccanplato|true|true
Zoho|Team collaboration, project management, order management...the list goes on. Go ahead get your self "The SaaS almighty" for your need.|http://www.zoho.com|zohocrm|CRM|oauth,custom_key|false|accounts,calls,campaigns,cases,contacts,events,leads,potentials,solutions,tasks,users|localhost://8080/deccanplato|false|true
Box|Box - Cloud storage.|http://www.box.com|box|Storage|oauth,custom_key|false|files,folders,users|localhost://8080/deccanplato|false|true
DropBox|DropBox - Cloud storage.|http://www.dropbox.com|dropbox|Storage|oauth|false|accounts,leads,campaigns,cases,contacts,contracts,events,opportunities,partners,pricebook,products,tasks,users|localhost://8080/deccanplato|false|true
Liferay|An open source portal almighty software suitable for organization requiring a portal, and social collaboration.Go ahead what are you waiting for, if you need a portal, this is it.|http://www.liferay.com|liferay|Collaboration|saml2|true|accounts,leads,campaigns,cases,contacts,contracts,events,opportunities,partners,pricebook,products,tasks,users|localhost://8080/deccanplato|true|true    
